FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
34989,731601,D,01/01/2018 00:00:00,55,M,Outside/Open Areas
35066,731727,I,01/17/2018 00:00:00,48,M,Outside/Open Areas
35175,733015,D,01/02/2018 00:00:00,45,F,Outside/Open Areas
35020,733767,I,01/17/2018 00:00:00,48,M,Outside/Open Areas
35021,733767,I,01/17/2018 00:00:00,63,M,Vehicle/Towed Trailer
35089,734468,I,01/06/2018 00:00:00,14,M,Outside/Open Areas
35038,734679,I,01/09/2018 00:00:00,,,Vehicle/Towed Trailer
35039,734679,I,01/09/2018 00:00:00,,,Vehicle/Towed Trailer
35073,734806,D,01/02/2018 00:00:00,60,F,Outside/Open Areas
35074,734809,D,01/07/2018 00:00:00,19,M,Outside/Open Areas
35060,734908,I,01/24/2018 00:00:00,41,M,Vehicle/Towed Trailer
35061,734912,I,01/24/2018 00:00:00,,M,Vehicle/Towed Trailer
35062,734912,I,01/24/2018 00:00:00,,,Vehicle/Towed Trailer
35067,735408,I,01/17/2018 00:00:00,57,M,Outside/Open Areas
35068,735409,I,01/17/2018 00:00:00,0,M,Vehicle/Towed Trailer
35085,735822,I,01/17/2018 00:00:00,6,M,Outside/Open Areas
35077,735911,D,01/10/2018 00:00:00,59,M,Vehicle/Towed Trailer
35091,736574,I,01/09/2018 00:00:00,65,M,Outside/Open Areas
35090,737012,I,01/05/2018 00:00:00,36,F,Outside/Open Areas
35092,737092,I,01/03/2018 00:00:00,57,M,Vehicle/Towed Trailer
35093,737092,I,01/03/2018 00:00:00,73,M,Vehicle/Towed Trailer
35136,737106,I,01/08/2018 00:00:00,23,F,Vehicle/Towed Trailer
35139,737398,D,01/17/2018 00:00:00,72,F,Permanent Structure
35162,737434,D,01/10/2018 00:00:00,36,M,Vehicle/Towed Trailer
35161,737438,D,01/20/2018 00:00:00,46,M,Vehicle/Towed Trailer
35167,737504,D,01/25/2018 00:00:00,68,F,Outside/Open Areas
35171,737519,I,01/02/2018 00:00:00,64,M,Vehicle/Towed Trailer
35181,737640,D,01/17/2018 00:00:00,84,M,Permanent Home
35182,737791,D,01/01/2018 00:00:00,,,Outside/Open Areas
35183,737796,D,01/12/2018 00:00:00,,,Outside/Open Areas
35190,738328,I,01/01/2018 00:00:00,21,M,Vehicle/Towed Trailer
35189,738329,D,01/01/2018 00:00:00,,M,Outside/Open Areas
35907,778759,D,08/19/2018 00:00:00,49,M,In Water
35908,778759,D,08/19/2018 00:00:00,47,F,In Water
36016,782826,D,03/01/2018 00:00:00,8,M,In Water
36086,785299,I,11/01/2018 00:00:00,19,F,Vehicle/Towed Trailer
36094,785747,I,09/17/2018 00:00:00,74,M,Permanent Home
36095,785748,I,09/17/2018 00:00:00,22,F,Permanent Home
36096,785756,I,09/18/2018 00:00:00,67,M,Outside/Open Areas
36129,783856,D,09/14/2018 00:00:00,65,M,Outside/Open Areas
36130,783860,D,09/15/2018 00:00:00,79,F,Outside/Open Areas
36131,783872,D,09/15/2018 00:00:00,81,M,Outside/Open Areas
37208,794225,I,12/19/2018 00:00:00,32,M,Vehicle/Towed Trailer
37209,794225,I,12/19/2018 00:00:00,30,M,Vehicle/Towed Trailer
37375,799751,D,12/28/2018 00:00:00,27,M,In Water
37670,774718,D,07/26/2018 00:00:00,37,M,Vehicle/Towed Trailer
37671,774718,D,07/26/2018 00:00:00,5,M,Vehicle/Towed Trailer
37672,774718,D,07/26/2018 00:00:00,4,F,Vehicle/Towed Trailer
37673,774718,D,07/26/2018 00:00:00,70,F,Unknown
37674,774715,D,07/28/2018 00:00:00,,,Unknown
37675,774715,D,07/28/2018 00:00:00,81,M,Heavy Equipment/Construction
37676,774715,I,08/09/2018 00:00:00,40,M,Heavy Equipment/Construction
37677,774715,I,07/24/2018 00:00:00,21,M,Heavy Equipment/Construction
37678,774723,I,07/27/2018 00:00:00,42,M,Under Tree
37803,737349,D,01/09/2018 00:00:00,,,Unknown
37804,737349,D,01/09/2018 00:00:00,,,Unknown
37805,737349,D,01/09/2018 00:00:00,,,Unknown
37806,737349,D,01/09/2018 00:00:00,,,Unknown
37807,737349,D,01/09/2018 00:00:00,,,Unknown
37808,737349,D,01/09/2018 00:00:00,,,Unknown
37809,737349,D,01/09/2018 00:00:00,,,Unknown
37810,737349,D,01/09/2018 00:00:00,,,Unknown
37811,737349,D,01/09/2018 00:00:00,,,Unknown
37812,737349,D,01/09/2018 00:00:00,,,Unknown
37813,737349,D,01/09/2018 00:00:00,,,Unknown
37814,737349,D,01/09/2018 00:00:00,,,Unknown
37815,737349,D,01/09/2018 00:00:00,,,Unknown
37816,737349,D,01/09/2018 00:00:00,,,Unknown
37817,737349,D,01/09/2018 00:00:00,,,Unknown
37818,737349,D,01/09/2018 00:00:00,,,Unknown
37819,737349,D,01/09/2018 00:00:00,,,Unknown
37820,737349,D,01/09/2018 00:00:00,,,Unknown
37821,737349,D,01/09/2018 00:00:00,,,Unknown
37822,737349,D,01/09/2018 00:00:00,,,Unknown
37823,737349,D,01/09/2018 00:00:00,,,Unknown
37846,807380,I,12/30/2018 00:00:00,20,F,Vehicle/Towed Trailer
37849,743596,I,03/07/2018 00:00:00,49,F,Vehicle/Towed Trailer
37850,743586,I,03/08/2018 00:00:00,34,M,Vehicle/Towed Trailer
37851,743586,I,03/08/2018 00:00:00,43,M,Vehicle/Towed Trailer
37854,727489,I,01/15/2018 00:00:00,52,M,Vehicle/Towed Trailer
37855,727489,I,01/15/2018 00:00:00,35,M,Vehicle/Towed Trailer
37924,785740,I,09/14/2018 00:00:00,68,M,Unknown
37925,785741,I,09/13/2018 00:00:00,77,M,Unknown
36068,784797,I,11/12/2018 00:00:00,77,M,Vehicle/Towed Trailer
36079,785131,D,11/12/2018 00:00:00,39,M,Outside/Open Areas
